score_id,instruction_id,student_id,final_score,final_score_4,academic_rank,is_practice,last_modified_date,etl_date
15240,474,20052491,9.8,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15241,474,20028461,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15242,474,20105141,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15243,474,20047761,9.8,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15244,474,20104821,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15245,474,20079601,9.7,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15246,474,20020761,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15247,474,20025031,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15248,474,20101671,8.9,3.8,A,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15249,474,20079071,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15250,474,20074861,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15251,474,20122031,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15252,474,20057571,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15253,474,20098431,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15254,474,20020541,9.8,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15255,474,20070711,9.8,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15256,474,20083601,9.3,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15257,474,20053181,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15258,474,20022711,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15259,474,20047711,9.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15260,474,20079741,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15261,474,20072291,9.5,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15262,474,20016701,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15263,474,20033951,9.4,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15264,474,20101981,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15265,474,20050361,9.6,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15266,474,20052221,9.1,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15267,474,20045061,9.2,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15268,474,20101811,9.6,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15269,474,20048721,9.9,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15270,474,20087481,9.8,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15271,474,20051051,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15272,474,20057961,9.7,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15273,474,20000831,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15274,474,20030031,10.0,4.0,A+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
15275,474,20101511,8.4,3.5,B+,False,2020-12-01 00:00:00.000000,2020-12-08 00:00:00.000000
