instruction_lecturer_id,instruction_id,lecturer_id,lecturer_type
1,972,73,theory
2,973,125,theory
3,974,16,theory
4,975,6,theory
5,976,29,theory
6,977,61,practice
7,977,152,practice
8,977,19,theory
9,978,47,practice
10,978,75,theory
11,979,7,practice
12,979,130,practice
13,979,74,theory
14,980,12,practice
15,980,98,practice
16,980,143,theory
17,981,89,practice
18,981,119,theory
19,982,165,practice
20,982,88,theory
21,983,71,practice
22,983,126,practice
23,983,70,theory
24,984,69,theory
25,985,168,theory
26,986,72,theory
27,987,80,theory
28,988,142,theory
29,989,100,practice
30,989,19,theory
31,990,119,practice
32,990,90,practice
33,990,129,theory
34,991,79,practice
35,991,28,practice
36,991,55,theory
37,992,127,practice
38,992,2,theory
39,993,51,practice
40,993,102,theory
41,994,165,practice
42,994,101,theory
43,995,94,practice
44,995,5,practice
45,995,91,theory
46,996,104,practice
47,996,28,theory
48,997,51,practice
49,997,122,practice
50,997,69,theory
51,998,162,practice
52,998,113,practice
53,998,89,theory
54,999,44,practice
55,999,84,theory
56,1000,97,practice
57,1000,120,practice
58,1000,17,theory
59,1001,116,practice
60,1001,15,theory
61,1002,83,practice
62,1002,28,theory
63,1003,77,practice
64,1003,107,practice
65,1003,126,theory
66,1004,35,practice
67,1004,22,practice
68,1004,40,theory
69,1005,139,practice
70,1005,25,practice
71,1005,71,theory
72,1006,100,practice
73,1006,54,practice
74,1006,36,theory
75,1007,158,practice
76,1007,44,theory
77,1008,18,practice
78,1008,11,theory
79,1009,140,theory
80,1010,161,theory
81,1011,48,theory
82,1012,168,theory
83,1013,48,theory
84,1014,93,theory
85,1015,43,theory
86,1016,40,theory
87,1017,31,theory
88,1018,51,theory
89,1019,148,practice
90,1019,10,theory
91,1020,85,practice
92,1020,123,practice
93,1020,28,theory
94,1021,12,practice
95,1021,56,practice
96,1021,115,theory
97,1022,79,practice
98,1022,128,practice
99,1022,18,theory
100,1023,110,practice
101,1023,5,theory
102,1024,113,practice
103,1024,30,theory
104,1025,163,practice
105,1025,2,practice
106,1025,118,theory
107,1026,137,practice
108,1026,74,practice
109,1026,55,theory
110,1027,106,practice
111,1027,10,theory
112,1028,48,practice
113,1028,164,practice
114,1028,126,theory
115,1029,129,practice
116,1029,141,practice
117,1029,52,theory
118,1030,119,practice
119,1030,56,theory
120,1031,103,practice
121,1031,133,practice
122,1031,166,theory
123,1032,20,practice
124,1032,50,theory
125,1033,60,practice
126,1033,131,theory
127,1034,111,practice
128,1034,103,theory
129,1035,115,practice
130,1035,157,theory
131,1036,125,practice
132,1036,132,theory
133,1037,92,practice
134,1037,47,practice
135,1037,20,theory
136,1038,144,practice
137,1038,127,theory
138,1039,23,practice
139,1039,81,practice
