instruction_id,program_semester_id,course_id,class_id,is_required,num_student,num_pass_student,num_fail_student,avg_final_score,instruction_status,instruction_allocate,instruction_time_start,instruction_time_end,last_modified_date,etl_date
1413,K18DS_1,147038,29,True,67,67,0,7.5,completed,2022-07-22,2022-08-10,2022-12-08,2022-12-15 00:00:00.000000,2022-12-22 00:00:00.000000
1414,K18DS_1,147038,61,True,61,61,0,7.6,completed,2022-07-20,2022-08-08,2022-12-06,2022-12-13 00:00:00.000000,2022-12-20 00:00:00.000000
1415,K18DS_1,147038,57,True,67,67,0,8.2,completed,2022-07-19,2022-08-14,2022-12-12,2022-12-19 00:00:00.000000,2022-12-26 00:00:00.000000
1416,K18DS_1,147038,21,True,67,67,0,7.0,completed,2022-07-24,2022-08-05,2022-12-03,2022-12-10 00:00:00.000000,2022-12-17 00:00:00.000000
1417,K18DS_1,147038,30,True,71,71,0,8.3,completed,2022-07-26,2022-08-01,2022-11-29,2022-12-06 00:00:00.000000,2022-12-13 00:00:00.000000
1418,K18DS_1,147040,340,True,67,67,0,8.2,completed,2022-08-01,2022-08-12,2022-12-10,2022-12-17 00:00:00.000000,2022-12-24 00:00:00.000000
1419,K18DS_1,147040,324,True,0,0,0,,cannot_open,2022-07-23,2022-08-11,,2022-12-16 00:00:00.000000,2022-12-23 00:00:00.000000
1420,K18DS_1,147040,143,True,0,0,0,,cannot_open,2022-07-21,2022-08-07,,2022-12-12 00:00:00.000000,2022-12-19 00:00:00.000000
1421,K18DS_1,147040,137,True,0,0,0,,cannot_open,2022-07-31,2022-08-02,,2022-12-07 00:00:00.000000,2022-12-14 00:00:00.000000
1422,K18DS_1,147040,343,True,0,0,0,,cannot_open,2022-07-19,2022-08-04,,2022-12-09 00:00:00.000000,2022-12-16 00:00:00.000000
1423,K18DS_1,147036,16,True,0,0,0,,cannot_open,2022-07-18,2022-08-01,,2022-12-06 00:00:00.000000,2022-12-13 00:00:00.000000
1424,K18DS_1,147036,62,True,0,0,0,,cannot_open,2022-07-23,2022-08-12,,2022-12-17 00:00:00.000000,2022-12-24 00:00:00.000000
1425,K18DS_1,147036,31,True,0,0,0,,cannot_open,2022-07-21,2022-08-08,,2022-12-13 00:00:00.000000,2022-12-20 00:00:00.000000
1426,K18DS_1,147036,68,True,0,0,0,,cannot_open,2022-07-26,2022-08-14,,2022-12-19 00:00:00.000000,2022-12-26 00:00:00.000000
1427,K18DS_1,147036,29,True,0,0,0,,cannot_open,2022-07-25,2022-08-01,,2022-12-06 00:00:00.000000,2022-12-13 00:00:00.000000
1428,K18DS_1,147037,4,True,0,0,0,,cannot_open,2022-07-28,2022-08-04,,2022-12-09 00:00:00.000000,2022-12-16 00:00:00.000000
1429,K18DS_1,147037,33,True,0,0,0,,cannot_open,2022-07-22,2022-08-12,,2022-12-17 00:00:00.000000,2022-12-24 00:00:00.000000
1430,K18DS_1,147037,58,True,0,0,0,,cannot_open,2022-07-31,2022-08-08,,2022-12-13 00:00:00.000000,2022-12-20 00:00:00.000000
1431,K18DS_1,147037,26,True,0,0,0,,cannot_open,2022-07-18,2022-08-01,,2022-12-06 00:00:00.000000,2022-12-13 00:00:00.000000
1432,K18DS_1,147037,13,True,0,0,0,,cannot_open,2022-07-29,2022-08-14,,2022-12-19 00:00:00.000000,2022-12-26 00:00:00.000000
1433,K18DS_1,147037,10,True,0,0,0,,cannot_open,2022-07-19,2022-08-11,,2022-12-16 00:00:00.000000,2022-12-23 00:00:00.000000
1434,K18DS_1,147037,10,True,0,0,0,,cannot_open,2022-07-23,2022-08-13,,2022-12-18 00:00:00.000000,2022-12-25 00:00:00.000000
1435,K18DS_1,147035,148,True,0,0,0,,cannot_open,2022-07-20,2022-08-05,,2022-12-10 00:00:00.000000,2022-12-17 00:00:00.000000
1436,K18DS_1,147035,142,True,0,0,0,,cannot_open,2022-07-28,2022-08-12,,2022-12-17 00:00:00.000000,2022-12-24 00:00:00.000000
1437,K18DS_1,147035,304,True,0,0,0,,cannot_open,2022-07-30,2022-08-01,,2022-12-06 00:00:00.000000,2022-12-13 00:00:00.000000
1438,K18DS_1,147035,83,True,0,0,0,,cannot_open,2022-08-01,2022-08-13,,2022-12-18 00:00:00.000000,2022-12-25 00:00:00.000000
1439,K18DS_1,147035,353,True,0,0,0,,cannot_open,2022-07-20,2022-08-12,,2022-12-17 00:00:00.000000,2022-12-24 00:00:00.000000
1440,K18DS_1,147035,218,True,0,0,0,,cannot_open,2022-07-28,2022-08-10,,2022-12-15 00:00:00.000000,2022-12-22 00:00:00.000000
1441,K18DS_1,147039,172,True,0,0,0,,cannot_open,2022-07-22,2022-08-10,,2022-12-15 00:00:00.000000,2022-12-22 00:00:00.000000
1442,K18DS_1,147039,345,True,0,0,0,,cannot_open,2022-07-21,2022-08-11,,2022-12-16 00:00:00.000000,2022-12-23 00:00:00.000000
1443,K18DS_1,147039,327,True,0,0,0,,cannot_open,2022-07-26,2022-08-02,,2022-12-07 00:00:00.000000,2022-12-14 00:00:00.000000
1444,K18DS_1,147039,99,True,0,0,0,,cannot_open,2022-07-26,2022-08-05,,2022-12-10 00:00:00.000000,2022-12-17 00:00:00.000000
1445,K18DS_1,147039,236,True,0,0,0,,cannot_open,2022-07-19,2022-08-02,,2022-12-07 00:00:00.000000,2022-12-14 00:00:00.000000
1446,K18DS_1,147039,315,True,0,0,0,,cannot_open,2022-08-01,2022-08-01,,2022-12-06 00:00:00.000000,2022-12-13 00:00:00.000000
1447,K18DS_1,147039,183,True,0,0,0,,cannot_open,2022-07-28,2022-08-11,,2022-12-16 00:00:00.000000,2022-12-23 00:00:00.000000
1448,K18DS_1,147034,27,True,0,0,0,,cannot_open,2022-08-01,2022-08-03,,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
1449,K18DS_1,147034,25,True,0,0,0,,cannot_open,2022-07-24,2022-08-14,,2022-12-19 00:00:00.000000,2022-12-26 00:00:00.000000
1450,K18DS_1,147034,30,True,0,0,0,,cannot_open,2022-07-24,2022-08-02,,2022-12-07 00:00:00.000000,2022-12-14 00:00:00.000000
1451,K18DS_1,147034,12,True,0,0,0,,cannot_open,2022-07-20,2022-08-15,,2022-12-20 00:00:00.000000,2022-12-27 00:00:00.000000
1452,K18DS_1,147034,62,True,0,0,0,,cannot_open,2022-08-01,2022-08-01,,2022-12-06 00:00:00.000000,2022-12-13 00:00:00.000000
1453,K18DS_1,147034,27,True,0,0,0,,cannot_open,2022-07-30,2022-08-12,,2022-12-17 00:00:00.000000,2022-12-24 00:00:00.000000
1454,K18DS_1,147034,15,True,0,0,0,,cannot_open,2022-07-25,2022-08-08,,2022-12-13 00:00:00.000000,2022-12-20 00:00:00.000000
1455,K18DS_1,147225,32,True,0,0,0,,cannot_open,2022-07-22,2022-08-08,,2022-12-13 00:00:00.000000,2022-12-20 00:00:00.000000
1456,K18DS_1,147225,74,True,0,0,0,,cannot_open,2022-07-30,2022-08-07,,2022-12-12 00:00:00.000000,2022-12-19 00:00:00.000000
1457,K18DS_1,147225,54,True,0,0,0,,cannot_open,2022-07-24,2022-08-04,,2022-12-09 00:00:00.000000,2022-12-16 00:00:00.000000
1458,K18DS_1,147225,60,True,0,0,0,,cannot_open,2022-07-24,2022-08-14,,2022-12-19 00:00:00.000000,2022-12-26 00:00:00.000000
1459,K18DS_1,147225,4,True,0,0,0,,cannot_open,2022-07-24,2022-08-10,,2022-12-15 00:00:00.000000,2022-12-22 00:00:00.000000
1460,K18DS_1,147225,23,True,0,0,0,,cannot_open,2022-07-25,2022-08-09,,2022-12-14 00:00:00.000000,2022-12-21 00:00:00.000000
1461,K18DS_1,147225,50,True,0,0,0,,cannot_open,2022-07-26,2022-08-14,,2022-12-19 00:00:00.000000,2022-12-26 00:00:00.000000
1462,K18DS_2,147072,275,True,67,67,0,9.5,completed,2022-12-18,2023-01-15,2023-05-15,2023-05-22 00:00:00.000000,2023-05-29 00:00:00.000000
1463,K18DS_2,147072,272,True,67,67,0,9.5,completed,2022-12-27,2023-01-02,2023-05-02,2023-05-09 00:00:00.000000,2023-05-16 00:00:00.000000
1464,K18DS_2,147072,357,True,67,67,0,9.8,completed,2022-12-30,2023-01-07,2023-05-07,2023-05-14 00:00:00.000000,2023-05-21 00:00:00.000000
1465,K18DS_2,147072,271,True,0,0,0,,cannot_open,2022-12-28,2023-01-14,,2023-05-21 00:00:00.000000,2023-05-28 00:00:00.000000
