score_id,instruction_id,student_id,final_score,final_score_4,academic_rank,is_practice,last_modified_date,etl_date
20755,1413,22652671,6.9,2.5,C+,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20756,1413,22685611,6.9,2.5,C+,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20757,1413,22715721,7.4,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20758,1413,22707221,7.5,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20759,1413,22659731,8.7,3.8,A,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20760,1413,22640511,6.8,2.5,C+,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20761,1413,20120721,7.1,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20762,1413,22716321,7.9,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20763,1413,22678881,6.8,2.5,C+,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20764,1413,22705971,7.0,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20765,1413,22648801,7.9,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20766,1413,22724071,7.8,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20767,1413,22632311,7.3,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20768,1413,22642961,7.4,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20769,1413,22656001,8.1,3.5,B+,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20770,1413,22672481,7.3,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20771,1413,22636801,7.1,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20772,1413,22642231,7.9,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20773,1413,22635801,6.9,2.5,C+,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20774,1413,22697051,7.6,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20775,1413,22650601,7.1,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20776,1413,22685251,7.1,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20777,1413,22673181,6.9,2.5,C+,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20778,1413,20074861,7.0,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20779,1413,22677351,7.8,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20780,1413,22671851,7.5,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20781,1413,22645001,7.5,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20782,1413,22676511,7.6,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20783,1413,20030031,7.1,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20784,1413,22665711,7.8,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20785,1413,22703861,8.7,3.8,A,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20786,1413,22681791,7.9,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20787,1413,22708841,7.7,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20788,1413,22719231,8.1,3.5,B+,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20789,1413,22632561,8.0,3.5,B+,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
20790,1413,22641171,7.1,3.0,B,False,2022-12-08 00:00:00.000000,2022-12-15 00:00:00.000000
