enrollment_id,instruction_id,enrollment_start_time,enrollment_end_time,enrollment_status,last_modified_date,etl_date
1,1,2019-06-29,2019-07-24,closed,2019-07-31,2019-08-07
2,2,2019-06-23,2019-07-20,closed,2019-07-27,2019-08-03
3,3,2019-06-30,2019-07-27,closed,2019-08-03,2019-08-10
4,4,2019-07-04,2019-08-01,closed,2019-08-08,2019-08-15
5,5,2019-06-23,2019-07-20,closed,2019-07-27,2019-08-03
6,6,2019-06-22,2019-07-16,closed,2019-07-23,2019-07-30
7,7,2019-07-01,2019-07-27,closed,2019-08-03,2019-08-10
8,8,2019-06-20,2019-07-16,closed,2019-07-23,2019-07-30
9,9,2019-06-21,2019-07-13,closed,2019-07-20,2019-07-27
10,10,2019-07-02,2019-07-27,closed,2019-08-03,2019-08-10
11,11,2019-06-21,2019-07-13,closed,2019-07-20,2019-07-27
12,12,2019-06-23,2019-07-16,closed,2019-07-23,2019-07-30
13,13,2019-06-27,2019-07-22,closed,2019-07-29,2019-08-05
14,14,2019-06-30,2019-07-28,closed,2019-08-04,2019-08-11
15,15,2019-06-15,2019-07-10,closed,2019-07-17,2019-07-24
16,16,2019-07-02,2019-07-25,closed,2019-08-01,2019-08-08
17,17,2019-06-23,2019-07-19,closed,2019-07-26,2019-08-02
18,18,2019-06-23,2019-07-14,closed,2019-07-21,2019-07-28
19,19,2019-06-24,2019-07-20,closed,2019-07-27,2019-08-03
20,20,2019-06-23,2019-07-21,closed,2019-07-28,2019-08-04
21,21,2019-06-28,2019-07-19,closed,2019-07-26,2019-08-02
22,22,2019-06-25,2019-07-20,closed,2019-07-27,2019-08-03
23,23,2019-06-24,2019-07-20,closed,2019-07-27,2019-08-03
24,24,2019-06-25,2019-07-21,closed,2019-07-28,2019-08-04
25,25,2019-06-26,2019-07-22,closed,2019-07-29,2019-08-05
26,26,2019-06-22,2019-07-20,closed,2019-07-27,2019-08-03
27,27,2019-06-18,2019-07-09,closed,2019-07-16,2019-07-23
28,28,2019-06-24,2019-07-21,closed,2019-07-28,2019-08-04
29,29,2019-06-19,2019-07-10,closed,2019-07-17,2019-07-24
30,30,2019-06-16,2019-07-08,closed,2019-07-15,2019-07-22
31,31,2019-06-19,2019-07-10,closed,2019-07-17,2019-07-24
32,32,2019-06-26,2019-07-17,closed,2019-07-24,2019-07-31
33,33,2019-06-30,2019-07-25,closed,2019-08-01,2019-08-08
34,34,2019-06-26,2019-07-22,closed,2019-07-29,2019-08-05
35,35,2019-06-29,2019-07-23,closed,2019-07-30,2019-08-06
36,36,2019-11-27,2019-12-19,closed,2019-12-26,2020-01-02
37,37,2019-11-29,2019-12-22,closed,2019-12-29,2020-01-05
38,38,2019-11-24,2019-12-20,closed,2019-12-27,2020-01-03
39,39,2019-11-18,2019-12-11,closed,2019-12-18,2019-12-25
