instruction_id,program_semester_id,course_id,class_id,is_required,num_student,num_pass_student,num_fail_student,avg_final_score,instruction_status,instruction_allocate,instruction_time_start,instruction_time_end,last_modified_date,etl_date
1,K15DS_1,120511,60,True,71,71,0,7.2,completed,2019-07-22,2019-08-11,2019-12-09,2019-12-16,2019-12-23
2,K15DS_1,120511,13,True,71,71,0,9.1,completed,2019-07-20,2019-08-07,2019-12-05,2019-12-12,2019-12-19
3,K15DS_1,120511,22,True,67,67,0,7.2,completed,2019-07-18,2019-08-13,2019-12-11,2019-12-18,2019-12-25
4,K15DS_1,120511,28,True,70,70,0,7.2,completed,2019-07-21,2019-08-15,2019-12-13,2019-12-20,2019-12-27
5,K15DS_1,120511,69,True,62,62,0,10.0,completed,2019-07-22,2019-08-05,2019-12-03,2019-12-10,2019-12-17
6,K15DS_1,120511,60,True,67,67,0,9.9,completed,2019-07-22,2019-08-07,2019-12-05,2019-12-12,2019-12-19
7,K15DS_1,120509,22,True,61,61,0,7.8,completed,2019-07-21,2019-08-13,2019-12-11,2019-12-18,2019-12-25
8,K15DS_1,120509,10,True,71,71,0,8.2,completed,2019-07-22,2019-08-02,2019-11-30,2019-12-07,2019-12-14
9,K15DS_1,120509,2,True,72,72,0,7.1,completed,2019-07-20,2019-08-09,2019-12-07,2019-12-14,2019-12-21
10,K15DS_1,120509,19,True,63,63,0,9.7,completed,2019-07-27,2019-08-13,2019-12-11,2019-12-18,2019-12-25
11,K15DS_1,120509,17,True,67,67,0,9.5,completed,2019-07-30,2019-08-05,2019-12-03,2019-12-10,2019-12-17
12,K15DS_1,120508,62,True,61,61,0,7.5,completed,2019-07-28,2019-08-08,2019-12-06,2019-12-13,2019-12-20
13,K15DS_1,120508,75,True,79,79,0,7.7,completed,2019-08-01,2019-08-08,2019-12-06,2019-12-13,2019-12-20
14,K15DS_1,120508,23,True,66,66,0,7.5,completed,2019-07-25,2019-08-11,2019-12-09,2019-12-16,2019-12-23
15,K15DS_1,120508,9,True,72,72,0,9.7,completed,2019-07-31,2019-08-03,2019-12-01,2019-12-08,2019-12-15
16,K15DS_1,120508,17,True,72,72,0,8.8,completed,2019-07-19,2019-08-15,2019-12-13,2019-12-20,2019-12-27
17,K15DS_1,120508,30,True,54,54,0,9.4,completed,2019-08-01,2019-08-04,2019-12-02,2019-12-09,2019-12-16
18,K15DS_1,120506,157,True,0,0,0,,cannot_open,2019-07-25,2019-08-07,,2019-12-12,2019-12-19
19,K15DS_1,120506,134,True,0,0,0,,cannot_open,2019-07-28,2019-08-10,,2019-12-15,2019-12-22
20,K15DS_1,120506,102,True,0,0,0,,cannot_open,2019-08-01,2019-08-07,,2019-12-12,2019-12-19
21,K15DS_1,120506,169,True,0,0,0,,cannot_open,2019-07-26,2019-08-15,,2019-12-20,2019-12-27
22,K15DS_1,120506,294,True,0,0,0,,cannot_open,2019-07-27,2019-08-09,,2019-12-14,2019-12-21
23,K15DS_1,120506,281,True,0,0,0,,cannot_open,2019-07-28,2019-08-09,,2019-12-14,2019-12-21
24,K15DS_1,120507,255,True,0,0,0,,cannot_open,2019-07-22,2019-08-09,,2019-12-14,2019-12-21
25,K15DS_1,120507,342,True,0,0,0,,cannot_open,2019-07-27,2019-08-11,,2019-12-16,2019-12-23
26,K15DS_1,120507,285,True,0,0,0,,cannot_open,2019-07-22,2019-08-06,,2019-12-11,2019-12-18
27,K15DS_1,120507,249,True,0,0,0,,cannot_open,2019-07-27,2019-08-04,,2019-12-09,2019-12-16
28,K15DS_1,120507,185,True,0,0,0,,cannot_open,2019-07-22,2019-08-05,,2019-12-10,2019-12-17
29,K15DS_1,120510,91,True,0,0,0,,cannot_open,2019-07-27,2019-08-06,,2019-12-11,2019-12-18
30,K15DS_1,120510,250,True,0,0,0,,cannot_open,2019-07-19,2019-08-04,,2019-12-09,2019-12-16
31,K15DS_1,120510,175,True,0,0,0,,cannot_open,2019-07-29,2019-08-04,,2019-12-09,2019-12-16
32,K15DS_1,120510,77,True,0,0,0,,cannot_open,2019-07-30,2019-08-08,,2019-12-13,2019-12-20
33,K15DS_1,120510,166,True,0,0,0,,cannot_open,2019-07-26,2019-08-15,,2019-12-20,2019-12-27
34,K15DS_1,120510,311,True,0,0,0,,cannot_open,2019-07-19,2019-08-08,,2019-12-13,2019-12-20
35,K15DS_1,120510,355,True,0,0,0,,cannot_open,2019-07-28,2019-08-13,,2019-12-18,2019-12-25
36,K15DS_2,120517,151,True,65,65,0,9.3,completed,2019-12-31,2020-01-15,2020-05-14,2020-05-21,2020-05-28
37,K15DS_2,120517,341,True,72,72,0,7.7,completed,2019-12-30,2020-01-13,2020-05-12,2020-05-19,2020-05-26
38,K15DS_2,120517,275,True,71,71,0,9.3,completed,2020-01-01,2020-01-05,2020-05-04,2020-05-11,2020-05-18
39,K15DS_2,120517,238,True,73,73,0,7.6,completed,2019-12-25,2020-01-02,2020-05-01,2020-05-08,2020-05-15
40,K15DS_2,120517,347,True,72,72,0,9.0,completed,2019-12-19,2020-01-07,2020-05-06,2020-05-13,2020-05-20
41,K15DS_2,120517,195,True,80,80,0,8.5,completed,2019-12-20,2020-01-13,2020-05-12,2020-05-19,2020-05-26
42,K15DS_2,120517,349,True,60,60,0,9.2,completed,2019-12-20,2020-01-15,2020-05-14,2020-05-21,2020-05-28
43,K15DS_2,120516,90,True,72,69,3,9.8,completed,2019-12-30,2020-01-14,2020-05-13,2020-05-20,2020-05-27
44,K15DS_2,120516,48,True,62,62,0,9.3,completed,2020-01-01,2020-01-14,2020-05-13,2020-05-20,2020-05-27
45,K15DS_2,120516,245,True,77,77,0,7.7,completed,2019-12-31,2020-01-09,2020-05-08,2020-05-15,2020-05-22
46,K15DS_2,120516,213,True,72,72,0,9.0,completed,2019-12-18,2020-01-03,2020-05-02,2020-05-09,2020-05-16
47,K15DS_2,120516,210,True,74,74,0,9.9,completed,2019-12-21,2020-01-14,2020-05-13,2020-05-20,2020-05-27
48,K15DS_2,120516,166,True,71,71,0,7.9,completed,2019-12-30,2020-01-02,2020-05-01,2020-05-08,2020-05-15
49,K15DS_2,120518,53,True,67,67,0,9.3,completed,2019-12-27,2020-01-07,2020-05-06,2020-05-13,2020-05-20
50,K15DS_2,120518,27,True,74,74,0,7.4,completed,2019-12-21,2020-01-01,2020-04-30,2020-05-07,2020-05-14
51,K15DS_2,120518,53,True,73,73,0,7.2,completed,2019-12-25,2020-01-13,2020-05-12,2020-05-19,2020-05-26
52,K15DS_2,120518,75,True,60,60,0,9.9,completed,2019-12-21,2020-01-07,2020-05-06,2020-05-13,2020-05-20
53,K15DS_2,120518,3,True,61,61,0,8.3,completed,2019-12-25,2020-01-03,2020-05-02,2020-05-09,2020-05-16
54,K15DS_2,120518,58,True,47,47,0,7.1,completed,2020-01-01,2020-01-02,2020-05-01,2020-05-08,2020-05-15
55,K15DS_2,120515,211,True,0,0,0,,cannot_open,2019-12-19,2020-01-13,,2020-05-19,2020-05-26
56,K15DS_2,120515,201,True,0,0,0,,cannot_open,2019-12-19,2020-01-10,,2020-05-16,2020-05-23
57,K15DS_2,120515,137,True,0,0,0,,cannot_open,2019-12-30,2020-01-12,,2020-05-18,2020-05-25
58,K15DS_2,120515,47,True,0,0,0,,cannot_open,2019-12-24,2020-01-13,,2020-05-19,2020-05-26
59,K15DS_2,120515,332,True,0,0,0,,cannot_open,2019-12-25,2020-01-08,,2020-05-14,2020-05-21
60,K15DS_2,120515,139,True,0,0,0,,cannot_open,2019-12-23,2020-01-11,,2020-05-17,2020-05-24
61,K15DS_2,120515,173,True,0,0,0,,cannot_open,2019-12-29,2020-01-15,,2020-05-21,2020-05-28
62,K15DS_2,120513,138,True,0,0,0,,cannot_open,2020-01-01,2020-01-04,,2020-05-10,2020-05-17
63,K15DS_2,120513,305,True,0,0,0,,cannot_open,2019-12-28,2020-01-08,,2020-05-14,2020-05-21
64,K15DS_2,120513,156,True,0,0,0,,cannot_open,2019-12-25,2020-01-11,,2020-05-17,2020-05-24
65,K15DS_2,120513,167,True,0,0,0,,cannot_open,2019-12-29,2020-01-09,,2020-05-15,2020-05-22
66,K15DS_2,120513,263,True,0,0,0,,cannot_open,2019-12-28,2020-01-04,,2020-05-10,2020-05-17
67,K15DS_2,120513,115,True,0,0,0,,cannot_open,2020-01-01,2020-01-05,,2020-05-11,2020-05-18
68,K15DS_2,120514,319,True,0,0,0,,cannot_open,2019-12-28,2020-01-02,,2020-05-08,2020-05-15
69,K15DS_2,120514,291,True,0,0,0,,cannot_open,2019-12-25,2020-01-03,,2020-05-09,2020-05-16
70,K15DS_2,120514,149,True,0,0,0,,cannot_open,2019-12-29,2020-01-06,,2020-05-12,2020-05-19
71,K15DS_2,120514,219,True,0,0,0,,cannot_open,2019-12-19,2020-01-11,,2020-05-17,2020-05-24
72,K15DS_2,120514,86,True,0,0,0,,cannot_open,2020-01-01,2020-01-09,,2020-05-15,2020-05-22
73,K15DS_2,120514,275,True,0,0,0,,cannot_open,2019-12-19,2020-01-07,,2020-05-13,2020-05-20
74,K15DS_2,120512,231,True,0,0,0,,cannot_open,2019-12-31,2020-01-14,,2020-05-20,2020-05-27
75,K15DS_2,120512,144,True,0,0,0,,cannot_open,2019-12-23,2020-01-02,,2020-05-08,2020-05-15
76,K15DS_2,120512,114,True,0,0,0,,cannot_open,2019-12-23,2020-01-05,,2020-05-11,2020-05-18
77,K15DS_2,120512,124,True,0,0,0,,cannot_open,2019-12-26,2020-01-07,,2020-05-13,2020-05-20
78,K15DS_2,120512,152,True,0,0,0,,cannot_open,2019-12-21,2020-01-10,,2020-05-16,2020-05-23
79,K15DS_2,120512,313,True,0,0,0,,cannot_open,2020-01-01,2020-01-14,,2020-05-20,2020-05-27
80,K15DS_2,120524,341,False,0,0,0,,cannot_open,2019-12-24,2020-01-05,,2020-05-11,2020-05-18
81,K15DS_2,120524,266,False,0,0,0,,cannot_open,2019-12-19,2020-01-07,,2020-05-13,2020-05-20
82,K15DS_2,120524,166,False,0,0,0,,cannot_open,2019-12-28,2020-01-14,,2020-05-20,2020-05-27
83,K15DS_2,120524,213,False,0,0,0,,cannot_open,2019-12-28,2020-01-03,,2020-05-09,2020-05-16
84,K15DS_2,120524,198,False,0,0,0,,cannot_open,2019-12-22,2020-01-08,,2020-05-14,2020-05-21
85,K15DS_2,120524,148,False,0,0,0,,cannot_open,2019-12-27,2020-01-06,,2020-05-12,2020-05-19
86,K15DS_2,120524,168,False,0,0,0,,cannot_open,2019-12-29,2020-01-09,,2020-05-15,2020-05-22
87,K15DS_2,120519,352,False,0,0,0,,cannot_open,2019-12-20,2020-01-14,,2020-05-20,2020-05-27
88,K15DS_2,120519,127,False,0,0,0,,cannot_open,2019-12-29,2020-01-13,,2020-05-19,2020-05-26
