instruction_lecturer_id,instruction_id,lecturer_id,lecturer_type
1,1,55,theory
2,2,128,theory
3,3,31,theory
4,4,150,theory
5,5,96,theory
6,6,67,theory
7,7,5,theory
8,8,117,theory
9,9,29,theory
10,10,132,theory
11,11,25,theory
12,12,107,theory
13,13,97,theory
14,14,118,theory
15,15,134,theory
16,16,14,theory
17,17,104,theory
18,18,44,practice
19,18,94,practice
20,18,100,theory
21,19,77,practice
22,19,93,practice
23,19,95,theory
24,20,29,practice
25,20,56,theory
26,21,96,practice
27,21,20,theory
28,22,125,practice
29,22,16,theory
30,23,123,practice
31,23,77,practice
32,23,80,theory
33,24,53,practice
34,24,130,practice
35,24,139,theory
36,25,55,practice
37,25,150,theory
38,26,17,practice
39,26,40,theory
40,27,59,practice
41,27,133,theory
42,28,96,practice
43,28,107,practice
44,28,148,theory
45,29,166,practice
46,29,105,practice
47,29,114,theory
48,30,9,practice
49,30,130,theory
50,31,24,practice
51,31,125,practice
52,31,68,theory
53,32,124,practice
54,32,117,theory
55,33,15,practice
56,33,154,practice
57,33,56,theory
58,34,2,practice
59,34,156,theory
60,35,85,practice
61,35,143,practice
62,35,156,theory
63,36,45,practice
64,36,137,theory
65,37,128,practice
66,37,82,theory
67,38,11,practice
68,38,138,practice
69,38,9,theory
70,39,121,practice
71,39,17,practice
72,39,109,theory
73,40,63,practice
74,40,102,theory
75,41,36,practice
76,41,43,practice
77,41,103,theory
78,42,123,practice
79,42,78,theory
80,43,63,practice
81,43,104,theory
82,44,124,practice
83,44,113,theory
84,45,154,practice
85,45,115,practice
86,45,43,theory
87,46,112,practice
88,46,93,practice
89,46,85,theory
90,47,132,practice
91,47,58,practice
92,47,113,theory
93,48,88,practice
94,48,138,theory
95,49,34,theory
96,50,92,theory
97,51,33,theory
98,52,168,theory
99,53,130,theory
100,54,153,theory
101,55,140,practice
102,55,78,practice
103,55,140,theory
104,56,36,practice
105,56,42,theory
106,57,134,practice
107,57,78,theory
108,58,29,practice
109,58,66,practice
110,58,73,theory
111,59,163,practice
112,59,83,theory
113,60,16,practice
114,60,74,theory
115,61,126,practice
116,61,118,practice
117,61,112,theory
118,62,135,practice
119,62,32,theory
120,63,81,practice
121,63,73,practice
122,63,34,theory
123,64,158,practice
124,64,147,theory
125,65,33,practice
