score_id,instruction_id,student_id,final_score,final_score_4,academic_rank,is_practice,last_modified_date,etl_date
1,1,19334531,6.6,2.5,C+,False,2019-12-09,2019-12-16
2,1,19352631,6.7,2.5,C+,False,2019-12-09,2019-12-16
3,1,19340811,7.2,3.0,B,False,2019-12-09,2019-12-16
4,1,19350521,6.4,2.0,C,False,2019-12-09,2019-12-16
5,1,19353571,6.3,2.0,C,False,2019-12-09,2019-12-16
6,1,19343531,7.1,3.0,B,False,2019-12-09,2019-12-16
7,1,19350541,7.6,3.0,B,False,2019-12-09,2019-12-16
8,1,19337271,6.3,2.0,C,False,2019-12-09,2019-12-16
9,1,19338641,6.5,2.5,C+,False,2019-12-09,2019-12-16
10,1,19348041,7.6,3.0,B,False,2019-12-09,2019-12-16
11,1,19352131,7.0,3.0,B,False,2019-12-09,2019-12-16
12,1,19354091,7.4,3.0,B,False,2019-12-09,2019-12-16
13,1,19354771,6.6,2.5,C+,False,2019-12-09,2019-12-16
14,1,19345621,8.4,3.5,B+,False,2019-12-09,2019-12-16
15,1,19343021,7.1,3.0,B,False,2019-12-09,2019-12-16
16,1,19349881,7.4,3.0,B,False,2019-12-09,2019-12-16
17,1,19350731,7.7,3.0,B,False,2019-12-09,2019-12-16
18,1,19336571,6.6,2.5,C+,False,2019-12-09,2019-12-16
19,1,19354711,7.4,3.0,B,False,2019-12-09,2019-12-16
20,1,19342341,7.5,3.0,B,False,2019-12-09,2019-12-16
21,1,19333551,7.5,3.0,B,False,2019-12-09,2019-12-16
22,1,19354641,7.8,3.0,B,False,2019-12-09,2019-12-16
23,1,19341301,6.2,2.0,C,False,2019-12-09,2019-12-16
24,1,19353071,7.6,3.0,B,False,2019-12-09,2019-12-16
25,1,19334981,7.2,3.0,B,False,2019-12-09,2019-12-16
26,1,19336181,7.7,3.0,B,False,2019-12-09,2019-12-16
27,1,19342571,7.8,3.0,B,False,2019-12-09,2019-12-16
28,1,19344461,6.5,2.5,C+,False,2019-12-09,2019-12-16
29,1,19337851,7.1,3.0,B,False,2019-12-09,2019-12-16
30,1,19349101,7.4,3.0,B,False,2019-12-09,2019-12-16
31,1,19352841,7.7,3.0,B,False,2019-12-09,2019-12-16
32,1,19353111,7.3,3.0,B,False,2019-12-09,2019-12-16
33,1,19341511,6.9,2.5,C+,False,2019-12-09,2019-12-16
34,1,19350951,6.6,2.5,C+,False,2019-12-09,2019-12-16
35,1,19339101,7.5,3.0,B,False,2019-12-09,2019-12-16
36,1,19333571,7.0,3.0,B,False,2019-12-09,2019-12-16
37,1,19335861,6.7,2.5,C+,False,2019-12-09,2019-12-16
38,1,19336881,7.5,3.0,B,False,2019-12-09,2019-12-16
39,1,19339031,7.4,3.0,B,False,2019-12-09,2019-12-16
40,1,19347751,7.2,3.0,B,False,2019-12-09,2019-12-16
41,1,19340011,6.9,2.5,C+,False,2019-12-09,2019-12-16
42,1,19340751,6.7,2.5,C+,False,2019-12-09,2019-12-16
43,1,19345241,7.0,3.0,B,False,2019-12-09,2019-12-16
44,1,19349711,7.6,3.0,B,False,2019-12-09,2019-12-16
45,1,19347861,6.7,2.5,C+,False,2019-12-09,2019-12-16
46,1,19344981,7.0,3.0,B,False,2019-12-09,2019-12-16
47,1,19347811,7.1,3.0,B,False,2019-12-09,2019-12-16
48,1,19343181,7.3,3.0,B,False,2019-12-09,2019-12-16
49,1,19335321,7.8,3.0,B,False,2019-12-09,2019-12-16
50,1,19354761,7.5,3.0,B,False,2019-12-09,2019-12-16
51,1,19350221,7.4,3.0,B,False,2019-12-09,2019-12-16
52,1,19340521,7.0,3.0,B,False,2019-12-09,2019-12-16
53,1,19339651,7.0,3.0,B,False,2019-12-09,2019-12-16
54,1,19351011,6.7,2.5,C+,False,2019-12-09,2019-12-16
55,1,19338481,8.4,3.5,B+,False,2019-12-09,2019-12-16
56,1,19352021,7.1,3.0,B,False,2019-12-09,2019-12-16
57,1,19348841,7.6,3.0,B,False,2019-12-09,2019-12-16
58,1,19345851,8.0,3.5,B+,False,2019-12-09,2019-12-16
59,1,19343201,7.4,3.0,B,False,2019-12-09,2019-12-16
60,1,19337181,7.2,3.0,B,False,2019-12-09,2019-12-16
61,1,19336661,7.2,3.0,B,False,2019-12-09,2019-12-16
62,1,19353871,7.0,3.0,B,False,2019-12-09,2019-12-16
63,1,19347711,6.9,2.5,C+,False,2019-12-09,2019-12-16
64,1,19352721,7.5,3.0,B,False,2019-12-09,2019-12-16
65,1,19334711,7.7,3.0,B,False,2019-12-09,2019-12-16
66,1,19340541,7.0,3.0,B,False,2019-12-09,2019-12-16
67,1,19336951,8.4,3.5,B+,False,2019-12-09,2019-12-16
68,1,19338951,7.2,3.0,B,False,2019-12-09,2019-12-16
69,1,19335301,6.3,2.0,C,False,2019-12-09,2019-12-16
70,1,19333651,6.2,2.0,C,False,2019-12-09,2019-12-16
71,1,19347821,7.6,3.0,B,False,2019-12-09,2019-12-16
72,2,19335621,9.3,4.0,A+,False,2019-12-05,2019-12-12
73,2,19352661,8.8,3.8,A,False,2019-12-05,2019-12-12
74,2,19350911,8.6,3.8,A,False,2019-12-05,2019-12-12
75,2,19347871,9.4,4.0,A+,False,2019-12-05,2019-12-12
76,2,19345301,9.5,4.0,A+,False,2019-12-05,2019-12-12
77,2,19349881,9.4,4.0,A+,False,2019-12-05,2019-12-12
78,2,19337711,8.5,3.8,A,False,2019-12-05,2019-12-12
79,2,19338191,9.0,4.0,A+,False,2019-12-05,2019-12-12
80,2,19340191,9.3,4.0,A+,False,2019-12-05,2019-12-12
81,2,19335241,9.0,4.0,A+,False,2019-12-05,2019-12-12
82,2,19346951,8.2,3.5,B+,False,2019-12-05,2019-12-12
83,2,19336541,9.4,4.0,A+,False,2019-12-05,2019-12-12
84,2,19352151,9.0,4.0,A+,False,2019-12-05,2019-12-12
85,2,19339781,8.8,3.8,A,False,2019-12-05,2019-12-12
86,2,19349711,8.6,3.8,A,False,2019-12-05,2019-12-12
87,2,19341011,9.5,4.0,A+,False,2019-12-05,2019-12-12
88,2,19340731,9.0,4.0,A+,False,2019-12-05,2019-12-12
89,2,19354041,8.6,3.8,A,False,2019-12-05,2019-12-12
90,2,19347711,8.7,3.8,A,False,2019-12-05,2019-12-12
91,2,19350031,9.1,4.0,A+,False,2019-12-05,2019-12-12
92,2,19351511,9.2,4.0,A+,False,2019-12-05,2019-12-12
93,2,19354761,8.7,3.8,A,False,2019-12-05,2019-12-12
94,2,19334871,8.9,3.8,A,False,2019-12-05,2019-12-12
95,2,19342551,8.4,3.5,B+,False,2019-12-05,2019-12-12
96,2,19336131,7.6,3.0,B,False,2019-12-05,2019-12-12
97,2,19346881,9.9,4.0,A+,False,2019-12-05,2019-12-12
98,2,19352461,9.1,4.0,A+,False,2019-12-05,2019-12-12
99,2,19339351,9.3,4.0,A+,False,2019-12-05,2019-12-12
100,2,19336921,9.2,4.0,A+,False,2019-12-05,2019-12-12
101,2,19353541,8.5,3.8,A,False,2019-12-05,2019-12-12
102,2,19338841,8.6,3.8,A,False,2019-12-05,2019-12-12
103,2,19344041,9.4,4.0,A+,False,2019-12-05,2019-12-12
104,2,19333541,9.3,4.0,A+,False,2019-12-05,2019-12-12
105,2,19345371,10.0,4.0,A+,False,2019-12-05,2019-12-12
106,2,19334461,8.5,3.8,A,False,2019-12-05,2019-12-12
107,2,19338351,9.5,4.0,A+,False,2019-12-05,2019-12-12
108,2,19342361,8.3,3.5,B+,False,2019-12-05,2019-12-12
109,2,19349611,8.9,3.8,A,False,2019-12-05,2019-12-12
110,2,19344771,9.9,4.0,A+,False,2019-12-05,2019-12-12
111,2,19348481,9.6,4.0,A+,False,2019-12-05,2019-12-12
112,2,19337901,9.2,4.0,A+,False,2019-12-05,2019-12-12
113,2,19352631,9.4,4.0,A+,False,2019-12-05,2019-12-12
114,2,19353071,8.5,3.8,A,False,2019-12-05,2019-12-12
115,2,19347861,10.0,4.0,A+,False,2019-12-05,2019-12-12
116,2,19352781,9.0,4.0,A+,False,2019-12-05,2019-12-12
117,2,19338781,7.9,3.0,B,False,2019-12-05,2019-12-12
118,2,19352381,9.0,4.0,A+,False,2019-12-05,2019-12-12
119,2,19349741,8.9,3.8,A,False,2019-12-05,2019-12-12
120,2,19338641,9.2,4.0,A+,False,2019-12-05,2019-12-12
121,2,19342661,10.0,4.0,A+,False,2019-12-05,2019-12-12
122,2,19334711,9.3,4.0,A+,False,2019-12-05,2019-12-12
123,2,19339881,9.4,4.0,A+,False,2019-12-05,2019-12-12
124,2,19349041,8.5,3.8,A,False,2019-12-05,2019-12-12
125,2,19333571,9.7,4.0,A+,False,2019-12-05,2019-12-12
126,2,19340911,9.0,4.0,A+,False,2019-12-05,2019-12-12
127,2,19342601,8.5,3.8,A,False,2019-12-05,2019-12-12
128,2,19340541,9.7,4.0,A+,False,2019-12-05,2019-12-12
129,2,19353121,9.4,4.0,A+,False,2019-12-05,2019-12-12
130,2,19349151,9.0,4.0,A+,False,2019-12-05,2019-12-12
131,2,19334771,9.3,4.0,A+,False,2019-12-05,2019-12-12
132,2,19345341,8.8,3.8,A,False,2019-12-05,2019-12-12
133,2,19340031,9.3,4.0,A+,False,2019-12-05,2019-12-12
134,2,19335321,9.0,4.0,A+,False,2019-12-05,2019-12-12
135,2,19343301,8.9,3.8,A,False,2019-12-05,2019-12-12
136,2,19352651,8.6,3.8,A,False,2019-12-05,2019-12-12
